kbjd,flux,ferr
739.327261804, 147115.921875, 10.656129837
739.347694897, 147192.046875, 10.6551551819
739.36812809, 147099.140625, 10.6574487686
739.388561084, 147112.3125, 10.656083107
739.408994178, 147102.34375, 10.6565675735
739.429427373, 147115.5, 10.6561107635
739.449860468, 147102.640625, 10.6560382843
739.470293563, 147127.921875, 10.6563119888
739.490726658, 147116.71875, 10.657910347
739.511159754, 147109.625, 10.657087326
739.53159285, 147107.125, 10.6575546265
739.552025946, 147116.859375, 10.6554632187
739.572459043, 147124.734375, 10.6577167511
739.59289214, 147125.46875, 10.6578149796
739.613325237, 147142.90625, 10.6584215164
739.633758334, 147106.3125, 10.658621788
739.654191432, 147109.8125, 10.6573457718
739.67462453, 147151.453125, 10.6577672958
739.695057729, 147123.296875, 10.6568803787
739.715490727, 147143.0625, 10.6580514908
739.735923826, 147120.671875, 10.6576776505
739.756357026, 147112.59375, 10.6591510773
739.776790025, 147199.84375, 10.6582927704
739.797223125, 147159.34375, 10.6586179733
739.817656326, 147150.625, 10.658873558
739.838089326, 147102.078125, 10.6590747833
739.858522527, 147147.5625, 10.6581573486
739.878955628, 147123.296875, 10.6569957733
739.89938863, 147144.71875, 10.6590003967
739.919821831, 147125.03125, 10.6586942673
739.940254934, 147129.046875, 10.6577386856
739.960688036, 147068.890625, 10.6569051743
739.981121139, 147080.03125, 10.6583623886
740.001554242, 147111.875, 10.6586713791
740.021987345, 147125.0, 10.6581916809
740.042420449, 147081.09375, 10.6572914124
740.062853552, 147051.78125, 10.658665657
740.083286757, 147066.203125, 10.6564903259
740.103719861, 147104.34375, 10.6569623947
740.124152866, 147066.203125, 10.6580982208
740.144586071, 147110.671875, 10.6571798325
740.165019177, 147137.015625, 10.6575756073
740.185452182, 147132.3125, 10.6590766907
740.205885388, 147122.1875, 10.6558914185
740.226318495, 147126.5625, 10.6585741043
740.246751501, 147150.875, 10.6584558487
740.267184708, 147139.34375, 10.656208992
740.308050923, 147108.15625, 10.6559209824
740.328484031, 147061.515625, 10.6570997238
740.34891704, 147156.359375, 10.6565141678
740.369350248, 147161.71875, 10.6568555832
740.389783357, 147175.8125, 10.6576356888
740.410216366, 147175.59375, 10.6570072174
740.430649575, 147131.65625, 10.6569633484
740.451082685, 147160.359375, 10.6569442749
740.471515895, 147176.984375, 10.6470947266
740.512382016, 147221.640625, 10.6568336487
740.532815227, 147155.59375, 10.6571111679
740.553248239, 147177.234375, 10.6574296951
740.57368135, 147171.609375, 10.655465126
740.594114562, 147129.765625, 10.6579275131
740.614547674, 147146.3125, 10.6558351517
740.634980687, 147138.859375, 10.6570997238
740.6554139, 147138.15625, 10.6562738419
740.675847013, 147129.203125, 10.6560239792
740.696280126, 147167.40625, 10.6581268311
740.71671324, 147172.578125, 10.6579637527
740.737146354, 147171.765625, 10.6578302383
740.757579568, 147117.625, 10.6585178375
740.778012583, 147153.71875, 10.6570177078
740.798445698, 147160.171875, 10.65858078
740.818878913, 147132.90625, 10.6582317352
740.839311929, 147073.15625, 10.6569852829
740.859745045, 147139.984375, 10.6574087143
740.880178261, 147090.546875, 10.6551866531
740.900611277, 147105.25, 10.6587543488
740.921044494, 147101.390625, 10.6565828323
740.941477511, 147103.71875, 10.6578407288
740.961910629, 147086.46875, 10.6566562653
740.982343847, 147032.171875, 10.6564083099
741.002776865, 147085.0, 10.6574792862
741.023209983, 147132.265625, 10.6565246582
741.043643202, 147142.046875, 10.6582775116
741.064076221, 147148.046875, 10.657617569
741.08450944, 147117.265625, 10.6573553085
741.10494256, 147111.171875, 10.6580944061
741.125375679, 147124.84375, 10.6558485031
741.1458088, 147107.625, 10.6574382782
741.16624192, 147162.984375, 10.6573514938
741.186675041, 147084.21875, 10.6569252014
741.207108162, 147118.21875, 10.6567230225
741.227541284, 147099.34375, 10.6542787552
741.247974405, 147087.375, 10.6563577652
741.268407628, 147084.921875, 10.6578502655
741.28884065, 147118.265625, 10.6563301086
741.309273873, 147124.796875, 10.6576013565
741.329706996, 147134.765625, 10.6576547623
741.350140019, 147174.046875, 10.6584186554
741.370573243, 147150.734375, 10.6572265625
741.391006367, 147184.859375, 10.6573591232
741.411439391, 147151.796875, 10.6593036652
741.431872615, 147076.296875, 10.6568384171
741.45230574, 147090.890625, 10.6585035324
741.472738765, 147123.3125, 10.6582384109
741.493171991, 147119.375, 10.6578826904
741.513605117, 147147.875, 10.6569747925
741.534038243, 147086.5, 10.6580820084
741.554471369, 147120.609375, 10.6594629288
741.574904396, 147109.109375, 10.6593370438
741.595337623, 147137.71875, 10.6593828201
741.61577075, 147155.578125, 10.6584320068
741.636203778, 147149.890625, 10.6592187881
741.656637006, 147138.09375, 10.6600036621
741.677070134, 147106.890625, 10.6574144363
741.697503363, 147137.84375, 10.6579551697
741.717936392, 147145.796875, 10.6581125259
741.738369521, 147121.25, 10.6586427689
741.758802751, 147166.9375, 10.6587762833
741.77923578, 147099.125, 10.6605424881
741.799668911, 147198.53125, 10.6582660675
741.820102141, 147137.296875, 10.6586799622
741.840535272, 147140.78125, 10.658408165
741.860968303, 147147.96875, 10.6580848694
741.881401534, 147130.5, 10.6598424911
741.901834666, 147236.109375, 10.6571731567
741.922267898, 147205.375, 10.6578092575
741.94270093, 147202.859375, 10.6573867798
741.963134063, 147168.921875, 10.6595468521
741.983567296, 147142.03125, 10.6599740982
742.004000329, 147099.140625, 10.6595535278
742.024433463, 147112.59375, 10.6569337845
742.044866697, 147113.234375, 10.6568040848
742.065299731, 147128.765625, 10.6598672867
742.085732866, 147150.1875, 10.6587905884
742.1061661, 147165.40625, 10.6565961838
742.126599135, 147206.421875, 10.6574115753
742.147032371, 147183.015625, 10.6576547623
742.167465507, 147112.015625, 10.6557588577
742.187898543, 147131.109375, 10.6575260162
742.208331779, 147109.1875, 10.6563024521
742.228764816, 147106.796875, 10.6605291367
742.249197953, 147106.796875, 10.6581525803
742.26963119, 147172.9375, 10.6594715118
742.290064228, 147187.546875, 10.6591148376
742.310497466, 147112.515625, 10.6605844498
742.330930604, 147084.5, 10.6608715057
742.351363743, 147103.65625, 10.6585798264
742.371796882, 147071.953125, 10.658864975
742.392230021, 147116.4375, 10.6575946808
742.41266316, 147122.765625, 10.6604881287
742.4330963, 147107.140625, 10.6600532532
742.45352944, 147151.046875, 10.660446167
