kbjd,flux,ferr
545.33514368, 150351.671875, 10.4204435349
545.355577861, 150362.34375, 10.4204692841
545.376012141, 150350.453125, 10.4204950333
545.396446221, 150348.21875, 10.4205217361
545.416880401, 150325.25, 10.4205474854
545.437314681, 150285.640625, 10.4205732346
545.457748761, 150341.265625, 10.4205999374
545.47818294, 150309.171875, 10.4206256866
545.498617219, 150376.296875, 10.4206514359
545.519051298, 150337.953125, 10.4206771851
545.539485477, 150382.984375, 10.4207029343
545.559919755, 150408.734375, 10.4207296371
545.580353833, 150382.890625, 10.4207553864
545.600788011, 150407.703125, 10.4207811356
545.621222289, 150393.0625, 10.4208078384
545.641656366, 150408.71875, 10.420832634
545.662090643, 150392.046875, 10.4208593369
545.68252482, 150394.15625, 10.4208850861
545.702958997, 150315.921875, 10.4209108353
545.723393174, 150343.9375, 10.4209375381
545.74382735, 150361.84375, 10.4209632874
545.764261526, 150350.859375, 10.4209890366
545.784695801, 150357.515625, 10.4210157394
545.805129877, 150345.125, 10.4210414886
545.825564052, 150372.390625, 10.4210672379
545.845998327, 150332.453125, 10.4210453033
545.866432402, 150344.421875, 10.4210224152
545.886866577, 150323.0, 10.4210004807
545.907300851, 150355.78125, 10.4209794998
545.927734925, 150350.3125, 10.4209566116
545.948169199, 150281.71875, 10.4209346771
545.968603273, 150357.796875, 10.4209117889
545.989037446, 150346.640625, 10.4208898544
546.009471719, 150387.984375, 10.4208688736
546.029905792, 150354.703125, 10.4208459854
546.050339965, 150380.125, 10.4208240509
546.070774237, 150394.015625, 10.4208021164
546.091208309, 150352.421875, 10.4207801819
546.111642481, 150386.84375, 10.4207582474
546.132076753, 150380.65625, 10.4207353592
546.152510924, 150402.875, 10.4207134247
546.172944996, 150366.28125, 10.4206905365
546.193379267, 150316.640625, 10.4206695557
546.213813438, 150320.34375, 10.4206476212
546.234247608, 150328.203125, 10.420624733
546.254681774, 150366.625, 10.4206027985
546.275115944, 150339.96875, 10.4205818176
546.295550214, 150367.65625, 10.4205589294
546.315984283, 150349.546875, 10.4205369949
546.336418453, 150374.265625, 10.4206209183
546.356852722, 150375.515625, 10.4207048416
546.377286791, 150374.796875, 10.4207897186
546.397720959, 150347.671875, 10.4208745956
546.418155228, 150315.5625, 10.420958519
546.438589296, 150321.984375, 10.421043396
546.459023464, 150271.234375, 10.4211273193
546.479457731, 150323.140625, 10.4212112427
546.499891799, 150292.171875, 10.421295166
546.520325966, 150375.25, 10.4213809967
546.540760233, 150357.15625, 10.42146492
546.561194299, 150458.609375, 10.4215488434
546.581628566, 150402.6875, 10.4216327667
546.602062632, 150368.546875, 10.4217166901
546.622496798, 150397.203125, 10.4218015671
546.642931064, 150357.9375, 10.4218864441
546.663365129, 150363.78125, 10.4219703674
546.683799294, 150358.109375, 10.4220542908
546.704233559, 150424.78125, 10.4221391678
546.724667724, 150395.25, 10.4222230911
546.745101789, 150392.515625, 10.4223079681
546.765536053, 150409.140625, 10.4223928452
546.785970217, 150379.3125, 10.4224767685
546.806404281, 150335.6875, 10.4225606918
546.826838544, 150353.40625, 10.4225854874
546.847272708, 150349.171875, 10.4226102829
546.867706971, 150346.28125, 10.4226350784
546.888141034, 150373.265625, 10.4226589203
546.908575196, 150310.3125, 10.4226827621
546.929009458, 150385.140625, 10.4227085114
546.949443521, 150386.390625, 10.4227323532
546.969877682, 150333.5, 10.4227581024
546.990311944, 150334.375, 10.4227819443
547.010746005, 150362.0, 10.4228057861
547.031180166, 150327.28125, 10.4228305817
547.051614427, 150333.921875, 10.4228553772
547.112916909, 150362.3125, 10.4229297638
